
2024/06/15 (17:52:31) | ===> btop++ v.1.3.2
2024/06/15 (17:52:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/15 (17:54:24) | ===> btop++ v.1.3.2
2024/06/15 (17:54:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/15 (18:42:44) | ===> btop++ v.1.3.2
2024/06/15 (18:42:44) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/18 (17:03:22) | ===> btop++ v.1.3.2
2024/06/18 (17:03:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/21 (14:45:11) | ===> btop++ v.1.3.2
2024/06/21 (14:45:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/21 (15:52:58) | ===> btop++ v.1.3.2
2024/06/21 (15:52:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/21 (18:57:28) | ===> btop++ v.1.3.2
2024/06/21 (18:57:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/21 (21:20:05) | ===> btop++ v.1.3.2
2024/06/21 (21:20:05) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/21 (21:20:21) | ===> btop++ v.1.3.2
2024/06/21 (21:20:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/21 (21:25:50) | ===> btop++ v.1.3.2
2024/06/21 (21:25:50) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2024/06/23 (18:42:04) | ===> btop++ v.1.3.2
2024/06/23 (18:42:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/23 (18:53:26) | ===> btop++ v.1.3.2
2024/06/23 (18:53:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/23 (18:59:45) | ===> btop++ v.1.3.2
2024/06/23 (18:59:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/23 (19:04:14) | ===> btop++ v.1.3.2
2024/06/23 (19:04:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/23 (19:13:03) | ===> btop++ v.1.3.2
2024/06/23 (19:13:03) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/23 (23:41:38) | ===> btop++ v.1.3.2
2024/06/23 (23:41:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/24 (00:13:12) | ===> btop++ v.1.3.2
2024/06/24 (00:13:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/24 (01:01:58) | ===> btop++ v.1.3.2
2024/06/24 (01:01:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/06/25 (09:26:18) | ===> btop++ v.1.3.2
2024/06/25 (09:26:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/03 (23:59:26) | ===> btop++ v.1.3.2
2024/07/03 (23:59:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/05 (18:05:12) | ===> btop++ v.1.3.2
2024/07/05 (18:05:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/06 (16:37:32) | ===> btop++ v.1.3.2
2024/07/06 (16:37:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (01:50:08) | ===> btop++ v.1.3.2
2024/07/07 (01:50:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (01:51:39) | ===> btop++ v.1.3.2
2024/07/07 (01:51:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (15:55:35) | ===> btop++ v.1.3.2
2024/07/07 (15:55:35) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (15:55:45) | ===> btop++ v.1.3.2
2024/07/07 (15:55:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (23:45:31) | ===> btop++ v.1.3.2
2024/07/07 (23:45:31) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (23:45:38) | ===> btop++ v.1.3.2
2024/07/07 (23:45:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (23:45:52) | ===> btop++ v.1.3.2
2024/07/07 (23:45:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (23:46:09) | ===> btop++ v.1.3.2
2024/07/07 (23:46:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/07 (23:50:26) | ===> btop++ v.1.3.2
2024/07/07 (23:50:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/08 (00:18:55) | ===> btop++ v.1.3.2
2024/07/08 (00:18:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/08 (14:04:39) | ===> btop++ v.1.3.2
2024/07/08 (14:04:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/08 (22:20:14) | ===> btop++ v.1.3.2
2024/07/08 (22:20:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/09 (13:39:33) | ===> btop++ v.1.3.2
2024/07/09 (13:39:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/10 (23:49:09) | ===> btop++ v.1.3.2
2024/07/10 (23:49:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/10 (23:49:21) | ===> btop++ v.1.3.2
2024/07/10 (23:49:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/13 (23:45:58) | ===> btop++ v.1.3.2
2024/07/13 (23:45:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/13 (23:51:47) | ===> btop++ v.1.3.2
2024/07/13 (23:51:47) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/19 (13:56:57) | ===> btop++ v.1.3.2
2024/07/19 (13:56:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/21 (15:51:48) | ===> btop++ v.1.3.2
2024/07/21 (15:51:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/21 (16:37:40) | ===> btop++ v.1.3.2
2024/07/21 (16:37:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/21 (20:42:58) | ===> btop++ v.1.3.2
2024/07/21 (20:42:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/22 (09:26:45) | ===> btop++ v.1.3.2
2024/07/22 (09:26:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/07/22 (20:05:50) | ===> btop++ v.1.3.2
